Date,Time,Open,High,Low,Adj Close,Volumne
2021.12.02,11:40,56375.98,56493.17,56305.56,56472.91,373
2021.12.02,11:45,56473.66,56474.71,56215.11,56300.04,346
2021.12.02,11:50,56304.49,56427.36,56243.18,56340.54,357
2021.12.02,11:55,56330.46,56391.33,56281.85,56324.83,326
2021.12.02,12:00,56329.27,56366.21,56198.8,56278.41,356
2021.12.02,12:05,56285.27,56322.42,56047.05,56084.5,371
2021.12.02,12:10,56084.51,56157.33,56028.11,56091.58,374
2021.12.02,12:15,56087.3,56143.42,55974.31,56129.01,374
2021.12.02,12:20,56133.21,56237.81,56053.69,56230.44,341
2021.12.02,12:25,56232.76,56464.08,56232.76,56425.87,386
2021.12.02,12:30,56428.93,56518.44,56401.99,56417.41,368
2021.12.02,12:35,56413.42,56508.63,56318.1,56425.19,374
2021.12.02,12:40,56418.26,56424.85,56335.67,56406.98,345
2021.12.02,12:45,56402.96,56407.15,56240.22,56275.65,334
2021.12.02,12:50,56283.09,56568.77,56259.78,56551.71,353
2021.12.02,12:55,56547.14,56617.63,56480.58,56542.18,343
2021.12.02,13:00,56545.93,56619.15,56449.11,56476.64,352
2021.12.02,13:05,56491.15,56653.06,56463.03,56612.07,333
2021.12.02,13:10,56606.26,56624.18,56509.76,56537.57,341
2021.12.02,13:15,56538.59,56627.3,56499.95,56534.56,349
2021.12.02,13:20,56535.62,56560.05,56215.99,56230.33,354
2021.12.02,13:25,56209.04,56235.81,56031.41,56063.75,486
2021.12.02,13:30,56066.2,56341.1,56066.2,56333.7,417
2021.12.02,13:35,56333.54,56336.51,56098.1,56142.73,367
2021.12.02,13:40,56142.73,56288.24,56131.44,56272.01,355
2021.12.02,13:45,56276.79,56333.98,56100.82,56248.08,375
2021.12.02,13:50,56248.35,56255.37,56169.99,56216.21,335
2021.12.02,13:55,56221.55,56492.67,56217.69,56486.97,376
2021.12.02,14:00,56477.82,56538.12,56314.77,56328.9,353
2021.12.02,14:05,56333.29,56468.58,56267,56462.05,356
2021.12.02,14:10,56457.41,56743.91,56425.54,56717.49,392
2021.12.02,14:15,56718.57,56768.77,56524.03,56527.34,367
2021.12.02,14:20,56536.4,56686.68,56534.9,56630.21,355
2021.12.02,14:25,56635.3,56674.82,56466.2,56501.86,341
2021.12.02,14:30,56487.03,56598.54,56336.92,56552.72,473
2021.12.02,14:35,56552.34,56920.27,56436.14,56920.27,461
2021.12.02,14:40,56915.26,57084.71,56806.48,57014.35,382
2021.12.02,14:45,57030.56,57157.94,56954.79,57089.73,412
2021.12.02,14:50,57085.83,57210.96,57049.79,57117.63,415
2021.12.02,14:55,57114.79,57123.4,56992.28,57118.22,416
2021.12.02,15:00,57113.55,57394.25,57037.66,57261.74,499
2021.12.02,15:05,57255.11,57347.69,57029.77,57049.37,415
2021.12.02,15:10,57053.04,57097.71,56742.91,56840.36,427
2021.12.02,15:15,56836.27,56910.61,56597.1,56680.21,475
2021.12.02,15:20,56688.58,56721.7,56437.38,56642.5,475
2021.12.02,15:25,56647.23,56702.7,56442.76,56595.18,425
2021.12.02,15:30,56598.03,56686.12,56320.07,56390.1,428
2021.12.02,15:35,56394.51,56394.51,56108.95,56152.1,569
2021.12.02,15:40,56125.63,56309.84,56073.06,56106.9,489
2021.12.02,15:45,56129.6,56388.04,56071.43,56316.98,468
2021.12.02,15:50,56326.57,56485.32,56257.07,56296.05,410
2021.12.02,15:55,56296.22,56559.31,56234.67,56504.99,414
2021.12.02,16:00,56504.71,56581.36,56326.42,56472.45,415
2021.12.02,16:05,56478,56742.69,56476.85,56652.18,403
2021.12.02,16:10,56656.81,56661.26,56252.76,56345.58,460
2021.12.02,16:15,56347.04,56527.72,56209.07,56313.71,446
2021.12.02,16:20,56317.65,56410.19,56210.66,56329.45,409
2021.12.02,16:25,56316.68,56408.3,56219.57,56247.3,385
2021.12.02,16:30,56256.89,56333.12,56078.73,56113.65,438
2021.12.02,16:35,56107.86,56260.43,56063.65,56185.45,394
2021.12.02,16:40,56185.66,56271.72,56058.16,56065.64,398
2021.12.02,16:45,56064.81,56178.37,55954.38,56148.67,394
2021.12.02,16:50,56146.68,56287.88,56080.53,56255.33,381
2021.12.02,16:55,56263.39,56402.67,56112.87,56314.66,377
2021.12.02,17:00,56320.59,56518.31,56240.48,56315.06,419
2021.12.02,17:05,56319.8,56470.64,56272.63,56450.72,380
